,coordinates,elevation
2,"(44.9256884, -72.5292349)",1024
3,"(44.9258617, -72.5293337)",1024
4,"(44.9260954, -72.5295016)",1024
5,"(44.926489, -72.5297622)",1024
6,"(44.9268457, -72.5300575)",1024
7,"(44.9271655, -72.530266)",977
8,"(44.9274279, -72.5304803)",977
9,"(44.9276452, -72.5306193)",977
10,"(44.927883, -72.5307698)",977
11,"(44.9279978, -72.5308335)",977
12,"(44.9283586, -72.5310015)",977
0,"(44.9272656, -72.5151688)",811
1,"(44.9273391, -72.5147482)",811
2,"(44.9274399, -72.5141526)",753
3,"(44.9275561, -72.5136296)",753
4,"(44.9276359, -72.5129323)",753
5,"(44.9277376, -72.5125222)",753
6,"(44.9278392, -72.5119685)",696
7,"(44.92789, -72.5115993)",696
8,"(44.9279844, -72.5111071)",696
9,"(44.928086, -72.5105944)",696
10,"(44.9281586, -72.510133)",661
11,"(44.928282, -72.5095793)",661
12,"(44.9283909, -72.5089026)",661
13,"(44.9285071, -72.508195)",638
14,"(44.9285797, -72.5077951)",638
15,"(44.9287176, -72.5071389)",638
16,"(44.9288483, -72.5065236)",638
0,"(44.930445, -72.512179)",714
1,"(44.9304127, -72.5118534)",714
2,"(44.9303709, -72.5113811)",714
3,"(44.9303327, -72.5109315)",714
4,"(44.9304015, -72.5106142)",714
5,"(44.9304628, -72.510121)",685
6,"(44.9304588, -72.5095456)",685
7,"(44.9303455, -72.5091412)",685
8,"(44.9301713, -72.5087314)",685
9,"(44.9301273, -72.5084086)",685
10,"(44.9301713, -72.5080238)",652
11,"(44.9303207, -72.507639)",652
12,"(44.9304548, -72.5071284)",652
13,"(44.9305467, -72.5066373)",652
14,"(44.9305521, -72.5063347)",652
15,"(44.9305673, -72.5060732)",630
16,"(44.930592, -72.5058184)",630
0,"(44.9251167, -72.5166545)",792
1,"(44.9253781, -72.5165315)",792
2,"(44.9256428, -72.5163821)",792
3,"(44.9259151, -72.5162164)",792
4,"(44.9262057, -72.5159983)",792
5,"(44.9265397, -72.5157727)",792
6,"(44.9268137, -72.515527)",792
7,"(44.9271262, -72.5153064)",811
8,"(44.9272656, -72.5151688)",811
9,"(44.9273802, -72.5150697)",811
10,"(44.9277133, -72.5149087)",811
11,"(44.9280686, -72.5148148)",811
12,"(44.9284054, -72.5146755)",811
13,"(44.9288773, -72.5144704)",753
14,"(44.9290149, -72.5143642)",753
15,"(44.9292621, -72.5141115)",772
16,"(44.9295307, -72.5138655)",772
17,"(44.9297557, -72.5136399)",772
18,"(44.9299372, -72.5133733)",772
19,"(44.9301768, -72.5130656)",772
20,"(44.9303327, -72.5128322)",772
21,"(44.9304017, -72.5126278)",772
22,"(44.9304358, -72.512414)",714
23,"(44.930445, -72.512179)",714
0,"(44.9222418, -72.507368)",802
1,"(44.9223064, -72.5069924)",802
2,"(44.9224166, -72.5066706)",802
3,"(44.9225381, -72.5063916)",802
4,"(44.9225875, -72.5062361)",763
5,"(44.9225837, -72.5060161)",763
6,"(44.9225799, -72.5057747)",763
7,"(44.9226407, -72.5055601)",763
8,"(44.9227888, -72.5053509)",763
9,"(44.9229354, -72.5052181)",698
10,"(44.9231356, -72.5052265)",698
11,"(44.9233832, -72.50519)",698
12,"(44.9237002, -72.5049129)",698
13,"(44.9240318, -72.5047772)",698
14,"(44.9243263, -72.5045554)",698
15,"(44.9245552, -72.5042483)",698
16,"(44.9248647, -72.5039484)",677
17,"(44.9250473, -72.5036766)",620
18,"(44.9252305, -72.5033653)",620
19,"(44.9254443, -72.5031918)",620
20,"(44.9257685, -72.503045)",620
21,"(44.9260072, -72.5030319)",620
22,"(44.9262522, -72.5031405)",620
23,"(44.9265638, -72.5033556)",620
24,"(44.9268954, -72.5034632)",620
25,"(44.9272496, -72.5036298)",601
26,"(44.9275656, -72.5038374)",601
0,"(44.9202175, -72.5118158)",955
1,"(44.9201902, -72.5115923)",955
2,"(44.9203356, -72.5113084)",955
3,"(44.9205941, -72.5110373)",955
4,"(44.9209597, -72.5106443)",888
5,"(44.9213581, -72.5102203)",852
6,"(44.921762, -72.509781)",852
7,"(44.9221877, -72.5093494)",852
8,"(44.9226952, -72.508779)",852
9,"(44.9230609, -72.5083011)",728
10,"(44.923361, -72.5080005)",728
0,"(44.923361, -72.5080005)",728
1,"(44.9237049, -72.5076691)",728
2,"(44.9239996, -72.5073993)",728
3,"(44.9243052, -72.5070294)",728
4,"(44.9246544, -72.506644)",728
5,"(44.9248945, -72.5063742)",728
6,"(44.9252111, -72.5059657)",650
7,"(44.9255058, -72.5056035)",650
8,"(44.9257841, -72.5053414)",650
9,"(44.9261388, -72.5049483)",650
10,"(44.9264007, -72.5046246)",650
11,"(44.926619, -72.5044396)",650
12,"(44.9267664, -72.5042855)",650
13,"(44.9270504, -72.5040849)",620
14,"(44.9275656, -72.5038374)",601
0,"(44.9378531, -72.5151461)",628
1,"(44.9378531, -72.5147871)",628
2,"(44.937849, -72.5142833)",613
3,"(44.9378326, -72.5138837)",613
4,"(44.9377834, -72.5135421)",613
5,"(44.9377383, -72.513183)",613
6,"(44.9377588, -72.5127777)",613
7,"(44.9378736, -72.5122739)",599
8,"(44.9379146, -72.5119554)",599
9,"(44.9379433, -72.5117064)",599
10,"(44.9379843, -72.5112083)",599
11,"(44.9380089, -72.5108319)",599
12,"(44.938054, -72.5103513)",586
13,"(44.9381277, -72.5098243)",586
14,"(44.9381892, -72.5093263)",586
15,"(44.9382384, -72.5089962)",586
16,"(44.9382712, -72.5087241)",586
17,"(44.9383204, -72.5081218)",573
18,"(44.9383573, -72.507896)",573
19,"(44.9383899, -72.5077357)",573
20,"(44.9386763, -72.5070782)",573
0,"(44.926605, -72.5238938)",1040
1,"(44.926902, -72.5235776)",1040
2,"(44.9271393, -72.5233665)",986
3,"(44.9274117, -72.5230686)",986
4,"(44.9276314, -72.5228576)",1020
5,"(44.9278951, -72.5226962)",1020
6,"(44.9280561, -72.5226606)",1020
7,"(44.9284818, -72.5226236)",1020
8,"(44.9288091, -72.5224355)",1020
9,"(44.9293188, -72.5220507)",926
10,"(44.9297298, -72.5216716)",926
11,"(44.929955, -72.5214023)",926
12,"(44.930137, -72.5214023)",926
13,"(44.9303113, -72.5214753)",926
