,coordinates,elevation
4,"(44.5247807, -72.8092852)",1098
5,"(44.5248286, -72.8092284)",1098
6,"(44.5249859, -72.808799)",1098
7,"(44.5250999, -72.8086451)",1007
8,"(44.5253035, -72.8087357)",1007
9,"(44.5254794, -72.8087786)",1007
10,"(44.5258511, -72.8089957)",1007
11,"(44.52591, -72.8088849)",1007
12,"(44.5259546, -72.8086607)",1007
13,"(44.5260148, -72.8085125)",1007
14,"(44.5260772, -72.8084559)",1007
15,"(44.5261602, -72.8083495)",1007
16,"(44.5262723, -72.8081773)",962
17,"(44.5264654, -72.8077218)",962
18,"(44.527071, -72.8070324)",962
19,"(44.5277732, -72.8064292)",900
20,"(44.5279757, -72.8060571)",863
21,"(44.5281418, -72.8057521)",863
22,"(44.5285104, -72.8048041)",863
23,"(44.528925, -72.8039306)",824
0,"(44.5279757, -72.8060571)",863
1,"(44.5278788, -72.8057311)",863
2,"(44.527796, -72.8054472)",863
3,"(44.5276984, -72.8050108)",863
4,"(44.527704, -72.804763)",863
5,"(44.5277665, -72.8044041)",863
6,"(44.527877, -72.8039136)",824
7,"(44.5279101, -72.8036115)",824
8,"(44.5279488, -72.8031184)",824
9,"(44.5279524, -72.8027879)",824
10,"(44.527923, -72.802553)",824
11,"(44.5278089, -72.8022019)",824
12,"(44.5276745, -72.8017604)",787
13,"(44.5276782, -72.8014267)",787
0,"(44.5423361, -72.7788204)",714
1,"(44.5423397, -72.7784725)",714
2,"(44.542196, -72.7783716)",714
3,"(44.5418402, -72.7782506)",714
4,"(44.5416712, -72.7782254)",714
5,"(44.5411968, -72.7779329)",640
6,"(44.5409617, -72.7778063)",640
7,"(44.5407943, -72.7777161)",640
8,"(44.5403558, -72.77758)",640
9,"(44.5401333, -72.7774966)",640
10,"(44.539885, -72.7774035)",640
11,"(44.5393998, -72.7772976)",601
12,"(44.5380807, -72.7768791)",580
13,"(44.5377644, -72.7768034)",580
14,"(44.5375919, -72.7769396)",580
0,"(44.5441512, -72.780151)",810
1,"(44.5440424, -72.7797057)",810
2,"(44.5437572, -72.7796702)",810
3,"(44.5434443, -72.7794475)",738
4,"(44.5429974, -72.7792642)",738
5,"(44.5427494, -72.7791331)",714
6,"(44.5423361, -72.7788204)",714
7,"(44.5420019, -72.7787851)",714
8,"(44.5414197, -72.7785632)",640
9,"(44.5411537, -72.778417)",640
10,"(44.5403882, -72.778175)",640
11,"(44.5401366, -72.7779279)",640
12,"(44.539655, -72.777817)",640
13,"(44.5393941, -72.7779077)",601
14,"(44.539174, -72.7779707)",601
15,"(44.5386899, -72.7781934)",601
0,"(44.5507198, -72.782499)",998
1,"(44.5504759, -72.782794)",998
2,"(44.5501705, -72.7831659)",998
3,"(44.5499594, -72.783229)",935
4,"(44.5497887, -72.78321)",935
5,"(44.5496135, -72.7831155)",935
6,"(44.5495102, -72.782939)",935
7,"(44.5492586, -72.7828823)",935
8,"(44.549034, -72.7827625)",935
9,"(44.5487286, -72.7828192)",935
10,"(44.5485219, -72.7829012)",935
11,"(44.5483602, -72.7829138)",935
