,coordinates,elevation
2,"(44.1775905, -71.7028122)",613
3,"(44.177767, -71.7030664)",613
4,"(44.1787265, -71.7044485)",613
5,"(44.1789272, -71.7046951)",613
6,"(44.1790695, -71.7050545)",613
7,"(44.1792272, -71.7058967)",602
0,"(44.1754642, -71.705821)",649
1,"(44.1756935, -71.7058158)",649
2,"(44.1775583, -71.7058682)",613
3,"(44.1789569, -71.7058532)",613
4,"(44.1792272, -71.7058967)",602
0,"(44.1754707, -71.7058835)",649
1,"(44.1755341, -71.7061026)",649
2,"(44.1756453, -71.7061857)",649
3,"(44.1764178, -71.7070505)",648
4,"(44.1767986, -71.7074768)",648
5,"(44.1773509, -71.7074995)",609
6,"(44.1783233, -71.7067228)",609
